	N1260_1_1	N1261_1_1	N1262_1_1	N1263_1_1	N1264_1_1	N1265_1_1	N1266_1_1	N1267_1_1	N1268_1_1	N1269_1_1	N1270_1_1	N1271_2_2	N1272_2_2	N1273_2_2	N1274_2_2	N1275_1_1	N1276_1_1	N1277_1_1	N1279_2_2	N1280_2_2	N1282_2_2	N1283_2_2	N1284_2_2	N1285_1_1	N1286_2_2	N1287_1_1	N1288_2_2	N1290_2_2	N1291_2_2	N1292_2_2	N1293_2_2	N1294_2_2	N1295_1_1	N1296_1_1	N1297_2_2	N1298_2_2	N1299_2_2	N1300_2_2	N1301_2_2	N1302_2_2	N1307_1_1	N1308_1_1	N1309_2_2	CD6582_2_2	CD6584_1_1	CD6586_1_1	CD6591_2_2	CD6594_2_2	CD6595_1_1	CD6598_1_1	CD6601_1_1	CD6604_2_2	CD6608_2_2	CD6610_2_2	CD6620_1_1	CD6636_1_1	CD6643_1_1	CD6644_1_1	CD6645_1_1	CD6647_1_1	CD6649_1_1	CD6650_1_1	CD6651_1_1	CD6654_1_1	CD6657_1_1	CD6700_1_1	CD6703_1_1	CD6716_2_2	CD6722_1_1	CD6733_1_1	CD8049_2_2	CD8051_2_2	CD8059_2_2	CD8117_2_2	CD8118_2_2	CD8119_2_2	CD8122_2_2	CD8144_2_2	CD8145_1_1	CD8149_2_2	CD8185_2_2	CD8196_2_2	CD8197_2_2	CD8203_2_2	CD8211_2_2	CD8212_2_2	CD8234_2_2	CD8239_2_2	CD8243_2_2	CD8257_2_2	CD8264_2_2	CD8305_2_2	CD8313_2_2	CD8321_2_2	CD8330_2_2	CD8331_2_2	CD8350_2_2	CD8355_2_2	CD8367_2_2	CD8368_2_2	CD8376_2_2	CD8380_2_2
A1	1.828892513	1.679570616	2.332650966	2.10187946	5.597069736	4.906439115	1.354953779	3.184187425	2.547272004	1.984454481	2.587504916	1.860756955	1.910988452	2.036895109	2.766298144	2.657626406	1.123868486	2.679982255	1.582348916	1.469766849	3.150902019	2.744730852	1.210114477	2.896714007	1.302786452	1.868696702	1.658088819	2.416651303	1.833967837	1.368968767	1.352203901	1.659379731	1.046626348	1.79046954	1.52793294	2.157647022	1.538511593	1.027853859	2.279465439	1.229729264	1.547464874	1.13121774	1.756496561	0.809338857	0.607320415	0.346485207	0.822022391	1.024079197	0.452126148	0.657747553	0.565756637	0.614017178	0.670239742	0.601210095	0.824407104	0.685366848	0.640700107	0.908381204	1.132274439	1.674508695	0.974387445	0.822002739	0.886460246	1.054768566	0.871445122	0.939446626	1.220422556	1.086408455	0.605472505	0.563533342	0.886741645	0.59687238	1.549031197	1.01553558	0.724662795	0.466808524	0.778584775	0.752405368	0.639980743	0.826195197	0.859039904	0.834116847	0.80271054	1.049864468	0.666068786	0.446839515	0.754281349	0.888789928	0.882361522	1.067095171	1.263953445	0.68866729	0.534248412	0.556123179	0.832467116	0.807729383	1.093386881	0.988454235	1.374209814	0.731343942	0.887942009	1.173622297
A2	2.160739598	1.643404545	2.628411011	2.668399519	4.487680672	3.83777728	2.379956775	2.570397326	1.977889708	2.510292199	2.151096478	2.100723871	1.269653009	1.686059457	2.55063079	1.903259387	1.236267112	2.131046572	1.423944265	1.125112649	2.816734477	2.468929241	1.165654174	2.258024752	1.038001151	2.126718012	1.627246128	1.772033874	1.762485334	1.206628202	1.243180479	1.119289389	1.335698747	1.618177597	1.084373388	1.775395632	1.475170843	0.941874323	1.96800455	1.181591208	1.6868083	1.407500193	1.423807904	0.798669021	1.065898459	0.479626549	0.827777997	0.678908884	0.546914368	0.698629445	0.458954069	0.647084172	0.768113879	0.668204992	0.654376015	0.813839317	0.053615216	1.049131055	1.488833976	2.179490966	1.161431036	0.81456684	0.974094006	0.957225411	0.749223339	0.828507688	1.418419314	1.019404378	0.649558338	0.913153419	0.848510892	0.560141626	0.973808011	0.736739083	0.674950366	0.442151474	0.674532595	0.520508466	0.628679774	0.676651272	0.723168197	0.763660127	0.635440338	0.900491776	0.568113773	0.42578779	0.794479629	0.735288981	0.844499481	0.877602738	1.175799954	0.816019363	0.887833059	0.569799025	0.811204953	0.717123663	0.774824985	0.822874707	0.920220539	0.647844748	0.68070306	1.17166968
A3	1.365941447	1.146443481	1.554124126	1.23967773	0.653917682	1.526974768	3.407203968	3.876365373	1.710954646	2.292187978	2.171506556	2.220516827	0.686177187	1.510941717	3.568380214	1.430671652	2.12467486	1.367812535	0.647316191	2.396318655	4.027847654	3.346774429	2.299832661	2.281804338	0.960902679	1.124336509	2.307022061	1.64598354	0.283835628	1.697948716	1.047218093	2.050347464	0.688096058	1.312297473	0.440235602	1.921570543	0.816074498	0.588169385	1.518237536	0.972481712	1.142402832	1.096968719	0.152717396	0.512753457	0.955192761	1.154236774	1.097767559	0.276583789	2.015551433	1.62623338	1.644214748	0.637637806	0.487589019	0.813489771	0.898536808	1.63261643	0.735763997	0.835702645	0.561439993	1.012187346	0.637911923	1.026902396	0.53448269	0.519164367	0.787044955	0.537229116	1.659221316	1.413663439	0.687760139	0.863921789	0.871118297	1.29577996	0.994613143	0.724169246	0.915707699	1.008394317	1.127710068	0.511619396	0.395836299	1.755683089	0.346068763	0.65609417	0.379699888	1.113067902	0.750547817	0.459151598	1.403936946	0.35036921	1.104239813	1.359642253	0.71473079	1.004142392	0.551336398	0.827226333	1.156789273	1.34218363	1.46747859	1.464235126	2.301780987	0.691692329	0.61222357	1.047862634
A4	0.04486859	0.046367636	0.045363166	0.035925965	0.052189235	0.574069375	0.077251322	0.071386341	0.082604075	0.057040955	0.038714597	0.178982851	0.170701345	0.061641428	0.133250018	0.037330306	0.549719623	2.226844097	0.130199578	0.168496824	0.189154166	0.165822987	0.143594257	0.07669048	0.139398801	0.043540764	0.135451124	2.657093741	0.152859756	0.12191894	0.136798347	0.16320758	0.040332268	0.042222355	0.164762076	0.130429448	0.122047476	0.147939805	0.159471424	0.081588209	0.02333714	0.034822584	0.131507941	1.130312171	0.177733797	2.455519205	1.675484591	4.457585894	3.937240355	3.117810908	2.155881978	0.147425741	1.388891983	2.793753662	3.407500863	0.041836411	3.220232323	3.440017565	1.432433316	0.25051051	2.310159561	0.148930017	1.421677646	4.680440227	0.126911616	1.581905245	3.492035933	1.586777452	0.521469912	1.642084692	1.94219365	0.932996349	2.647345323	1.515023897	2.887096304	0.139009284	1.702057409	0.820794757	0.217440416	0.139307062	2.121616983	1.693239021	1.599065892	1.583019992	1.600987071	1.338933385	0.362504658	0.683966504	1.196325369	0.288332891	0.476672877	4.618140385	0.755240855	0.188258117	0.155053925	0.345484914	2.706643789	4.716949926	4.217745527	2.274274523	1.865391913	7.333414085
A5	0.437222514	0.58548414	1.530657635	0.911294682	4.568190092	1.112275443	1.708948249	2.79034107	1.892991439	4.096326024	0.638737972	5.171175512	0.254795063	3.250825769	0.322229269	3.832256616	3.732581676	15.98026206	1.397540923	0.326510688	7.456772353	1.572785921	0.763322969	2.958270659	1.548203059	0.856722198	1.79461638	3.952278484	0.736389398	0.610561676	0.854884612	0.264443246	1.09476125	0.885303238	1.454096332	1.056518214	6.53798729	0.057370149	0.846544454	2.195749552	2.927057838	0.995632586	0.903637668	0.815140231	8.547533383	0.825387918	0.52719083	3.375948014	2.375520846	4.569907079	0.075731868	0.339831503	0.482774087	0.177477355	0.056551143	1.74063752	0.911140579	0.24027099	0.385872884	0.071084106	0.528012681	0.373480195	0.086246758	0.398350763	0.555758354	0.059208266	0.848140103	1.13397535	0.037607762	6.065314538	0.178193082	0.825632996	0.110748932	0.081748669	0.551323776	0.073083076	0.152870895	0.165195721	0.279688652	0.192243015	0.336636197	0.271993097	0.337178666	0.051356414	0.171282788	6.445895177	0.152667441	1.353112507	0.318929512	1.395364713	0.070296197	1.068255023	0.051304676	0.497448688	0.006737795	0.144433002	1.23590511	0.589630651	1.228439881	0.072409169	0.036631536	0.975182903
A6	1.334930691	2.056515499	1.467684489	1.296685518	2.300259319	1.606460996	0.897594271	1.335986196	1.421549403	1.704967086	1.873623991	1.327607641	1.677192989	1.580408752	0.935782252	1.485133295	1.641951053	2.024682146	1.593015005	1.602004953	1.41829501	1.67604019	1.555992495	1.434730393	0.856549314	1.208889962	1.643915426	1.253186685	1.421290615	1.459491071	1.689764591	1.476134791	1.71296012	1.416550226	1.799097679	1.953308008	1.768770252	1.37269539	2.009260709	1.139823811	1.557748725	1.789712523	1.368390381	1.075191755	1.552422613	0.831164683	0.709842982	0.547902546	0.752249097	1.429925299	0.837402516	1.004952076	0.853323385	0.551266999	0.721899566	0.910804257	0.977417723	0.934784112	1.467136395	0.950231213	0.558142544	0.902078648	0.825259928	0.910195814	0.647917833	1.333350466	0.838102872	0.666658543	0.745401	0.830481323	1.475799546	0.412419594	0.725097749	0.654371674	0.50957334	0.499307794	0.684658468	0.267560028	0.779214077	0.5345723	0.810973276	0.502841352	0.706104994	0.351759292	0.668757208	0.199316855	0.795135305	0.325642508	0.946490897	0.732522291	2.064472601	0.730619269	0.457068157	0.414356888	0.639753901	0.564744884	0.810452023	0.981036995	0.867036986	0.812880896	0.424065531	0.947850528
A7	1.283695504	1.218236574	1.981093025	1.219518459	2.384397503	1.437633268	0.996011484	1.042093172	0.801946128	2.3238134	1.320383366	1.24606289	1.478673352	1.128854146	0.979570744	1.194513385	1.031251305	1.554301032	0.96994994	0.967404722	1.536426853	1.247424008	1.107390121	1.185784373	0.773774938	0.936455986	1.313253998	1.20007984	1.719237115	1.494360238	1.310001504	1.69290234	1.102042671	1.327566447	1.197480432	1.288443622	1.849373002	1.634433938	0.903751796	1.014053886	2.079588967	1.195620038	1.496797605	0.634080589	1.050844821	0.686633139	0.776401392	0.632042739	0.562334581	0.915604346	0.909039066	0.62371011	0.709004917	1.705339653	0.524835219	0.91228844	0.851813217	1.062977562	0.841400808	1.304673217	1.286333021	1.125734843	0.555188001	1.000128541	0.587082752	0.786643379	1.037738601	0.649457153	1.684712823	0.947887554	0.794079244	0.717169424	1.021850512	0.838324505	0.767436641	0.441670378	1.000899593	0.706835227	0.72159892	0.903037944	1.083133772	0.835160636	0.601196628	1.323211844	0.650985238	0.649920459	0.791142383	0.698654974	0.779499767	0.926276735	1.097964507	0.825536014	1.117781979	0.742882859	0.878030534	0.635877659	0.712730472	1.019368338	0.888090591	0.46174869	0.714641468	1.345848607
A8	0.354868982	0.010294429	0.316044485	0.135334453	0.002436291	0.007582339	0.002737658	0.98108107	0.001362374	0.000949104	0.003499485	0.274241566	0.059750674	0.007736802	0.007630368	0.002607683	0.019284479	0.787209912	0.698955195	0.355688716	0.107960148	0.202821149	0.26097084	1.169325509	0.021854208	0.042231973	0.477902457	0.029934039	1.509491289	0.61510198	1.098646371	0.572418398	0.001608647	0.009338105	0.198621473	0.019110509	0.019251824	0.364112882	0.027113251	0.258447258	0.007935509	0.014524451	0.156393639	0.753742781	1.680869401	0.428777959	0.645038588	0.522448768	0.575076637	1.249065277	0.903352946	1.24326372	0.744032353	1.748396561	0.715395569	1.497324953	0.389885425	0.506361746	0.002234565	0.635724513	1.274835748	0.535364147	0.003839748	0.9334511	0.535177602	0.420480469	1.434857069	0.723268189	1.017015905	0.742502027	0.992071805	0.915179722	0.352191074	0.563048906	0.800613287	1.156979774	0.464474255	0.745403066	0.67428936	1.266961937	0.324026511	0.591869175	0.163901661	1.300768905	0.483093581	0.518808758	5.851478116	1.099653623	0.55703668	2.575920839	31.69296912	0.718014359	0.40653834	0.598168207	1.556682277	0.985244833	1.520920573	0.545240287	1.175525403	0.665016472	0.601370267	0.255206903
A9	1.798676672	1.702944287	2.966380446	1.159444267	0.480402895	0.460714657	0.476991497	2.114315434	2.407399293	1.033428086	1.03381932	0.453802668	1.231699404	1.053224726	2.499279209	1.319483037	0.706460202	4.387421242	1.419198396	4.37229337	3.494519295	2.577710145	0.541436666	2.956961018	1.649583588	1.199402881	3.354692141	1.721204893	1.63981686	5.919216157	1.32828386	2.720673303	0.725430194	0.447875148	0.911363379	1.788727836	3.690671088	4.410697611	4.07044463	4.130394478	1.436608219	0.662296388	3.208173916	9.569315805	3.047668648	1.357503755	2.312010046	4.147320184	1.029922724	2.357406351	2.984042326	3.859289241	3.932365281	0.457927711	2.119340642	2.622939098	1.948497597	1.496654156	3.228643821	1.316846097	2.689858479	1.20763057	0.786750045	2.135970064	0.999002068	1.673429467	1.34428219	0.873803275	2.445594869	1.694123621	3.74861028	4.486440615	4.312697578	3.891122339	2.249131251	1.068726368	3.673061403	4.801556673	2.453644148	6.870391354	6.778344016	3.551446502	0.386217072	1.583619661	1.079894507	2.396550272	7.129545001	2.014418747	0.450459478	12.84586003	1.285629907	0.48979629	3.846891303	3.652093715	1.734417745	0.759090697	1.091813938	3.094059874	3.297878313	3.69833217	5.185767962	2.641514133
A10	0.578636964	0.5351853	0.824942687	1.004062245	4.404026314	2.405605259	1.989013342	1.735815549	0.981427161	0.837984873	0.950373356	2.287282872	0.466693568	0.930079224	1.598889679	2.419976258	2.228972175	8.654025943	1.152192406	1.348884474	11.64336751	1.93052546	0.42339323	2.609997257	1.167990569	0.569024581	2.103660489	1.458863364	0.935358887	0.329894988	0.969639564	0.302744825	1.235690192	0.8987816	0.902683879	1.17475796	2.773936211	0.459509145	0.480439777	1.647008194	0.911220056	1.278788241	1.021872708	0.370634249	2.806654034	0.337699344	0.416482124	0.330301303	2.435153975	2.107091134	0.241715435	0.426048133	0.434840656	0.300095115	0.225104813	0.988001451	0.760515091	0.207196024	0.241812306	0.195256958	0.316217123	0.202518635	0.220578813	0.249619356	0.726572974	0.279225948	1.252603618	0.956997797	0.146527734	5.464466746	0.332974082	1.157033024	0.430461425	0.389952307	0.528800313	0.39152782	0.412955767	0.348229052	0.490079752	0.172004242	0.281949952	0.496394656	0.607033597	0.236590118	0.488918814	3.209618779	0.263668052	1.194464929	0.507447703	3.395019498	0.389568766	0.92248029	0.191445341	0.393816793	0.250444049	0.338018027	0.994860798	0.394833746	0.54566992	0.416829016	0.436050601	0.797551923
