"N1260_1_1"	"N1261_1_1"	"N1262_1_1"	"N1263_1_1"	"N1264_1_1"	"N1265_1_1"	"N1266_1_1"	"N1267_1_1"	"N1268_1_1"	"N1269_1_1"	"N1270_1_1"	"N1271_2_2"	"N1272_2_2"	"N1273_2_2"	"N1274_2_2"	"N1275_1_1"	"N1276_1_1"	"N1277_1_1"	"N1279_2_2"	"N1280_2_2"	"N1282_2_2"	"N1283_2_2"	"N1284_2_2"	"N1285_1_1"	"N1286_2_2"	"N1287_1_1"	"N1288_2_2"	"N1290_2_2"	"N1291_2_2"	"N1292_2_2"	"N1293_2_2"	"N1294_2_2"	"N1295_1_1"	"N1296_1_1"	"N1297_2_2"	"N1298_2_2"	"N1299_2_2"	"N1300_2_2"	"N1301_2_2"	"N1302_2_2"	"N1307_1_1"	"N1308_1_1"	"N1309_2_2"	"CD6582_2_2"	"CD6584_1_1"	"CD6586_1_1"	"CD6591_2_2"	"CD6594_2_2"	"CD6595_1_1"	"CD6598_1_1"	"CD6601_1_1"	"CD6604_2_2"	"CD6608_2_2"	"CD6610_2_2"	"CD6620_1_1"	"CD6636_1_1"	"CD6643_1_1"	"CD6644_1_1"	"CD6645_1_1"	"CD6647_1_1"	"CD6649_1_1"	"CD6650_1_1"	"CD6651_1_1"	"CD6654_1_1"	"CD6657_1_1"	"CD6700_1_1"	"CD6703_1_1"	"CD6716_2_2"	"CD6722_1_1"	"CD6733_1_1"	"CD8049_2_2"	"CD8051_2_2"	"CD8059_2_2"	"CD8117_2_2"	"CD8118_2_2"	"CD8119_2_2"	"CD8122_2_2"	"CD8144_2_2"	"CD8145_1_1"	"CD8149_2_2"	"CD8185_2_2"	"CD8196_2_2"	"CD8197_2_2"	"CD8203_2_2"	"CD8211_2_2"	"CD8212_2_2"	"CD8234_2_2"	"CD8239_2_2"	"CD8243_2_2"	"CD8257_2_2"	"CD8264_2_2"	"CD8305_2_2"	"CD8313_2_2"	"CD8321_2_2"	"CD8330_2_2"	"CD8331_2_2"	"CD8350_2_2"	"CD8355_2_2"	"CD8367_2_2"	"CD8368_2_2"	"CD8376_2_2"	"CD8380_2_2"
"N1260_1_1"	0	44.9583892869428	18.4071400147356	17.6809425320655	504.143634436261	26.4650808939682	29.6702676703106	28.0033036687615	35.717457769066	23.2930110208259	32.0107323615802	30.0239272165838	27.6317885290094	40.1933386360626	18.4102912767571	25.50480005281	27.924657070927	48.899595131924	22.9895495747637	24.1969280315176	40.3747656427032	30.9903721521316	18.7508426123419	24.2356479124673	32.0293009916119	23.7926156309937	18.8853123323038	38.253455703946	73.1161961231711	23.7238126017008	20.7385867189749	22.6981266967395	18.9471125966081	14.6780606693344	24.8486698893276	27.3858174769589	36.4264279836163	26.4782804037742	23.0840426334901	46.2558738418976	594.242825257389	821.430219481304	24.351952452377	47.653758964803	29.6955696693503	55.5335963509599	45.1203322597444	38.784692694385	26.5691928219881	37.2482624952748	39.4094399234166	25.5949189457206	29.5792870487426	41.2828934158058	41.0681721117818	33.3393008933814	36.782077264768	41.9121102488244	31.7047702004072	17.2038731024681	35.3955574244921	26.6371267792438	717.221697100699	33.299945996584	23.8333104671508	38.2798905141749	32.513761563265	49.2135923950168	43.7928371452564	34.0451695624397	33.6135542765711	34.1179966271039	41.9743183613459	32.14107968256	46.0733276770213	24.6546025463416	70.050092392619	34.9886351713458	98.4965118545859	33.4488505287831	85.2867531905998	47.1563580168264	32.0849893413832	49.2237363313799	30.0957968515509	40.673314562515	28.7373253356682	54.1461203407022	42.7746016597899	32.1924528689897	40.5251081834518	41.8521730172846	29.0106459671666	28.3995574562579	44.6452408791183	31.9550726920805	68.6659458936025	49.5101140620714	128.557386411084	25.9029161097656	45.4923028941079	43.8971884724445
"N1261_1_1"	44.9583892869428	0	47.7767568209521	48.4715977508168	506.244657956528	44.3306364843018	49.0184155221098	45.5932450313271	56.6563247431488	52.0890933387172	47.3341159816618	50.168207240901	46.4948092078498	52.0339142099403	47.6159349597993	45.9136727252181	47.1865343293589	64.7642248572368	44.8287100075386	45.7004000806612	55.7149209707094	48.6651150156373	49.1745959991303	43.577489550136	49.5738144920963	43.0562381713448	48.2580931442262	54.8609234804031	79.0556470264395	43.9765177694579	48.8382998797739	47.3748503524842	51.3027099847851	44.2200734095781	47.6086317108625	47.8922701550848	49.887307473648	40.1943639122851	42.7392978188381	62.9352515783528	595.226750394293	822.355533309678	46.3952597481233	60.0447047229371	49.7416058549164	71.6732746841527	58.0509500610549	54.9166046772254	53.8400482614558	53.7397003813593	56.2640398580484	46.6767047836826	48.8758830448653	55.9670194925537	57.3138543838601	52.0670484244335	54.04367158147	57.1028183112891	50.8610003397247	49.8610168996182	53.1698895993278	48.0881412171233	718.235059126551	51.9370415060562	45.0052772829016	53.5353278030083	52.0666835788525	62.8606478469823	59.0330469223383	52.4481064874883	51.9596252177622	54.8967313086747	57.1500847609926	45.7996782859197	59.8092761440512	45.7798106320434	78.8445323276253	51.541140707334	105.753866679941	52.1897327502431	94.134404916306	60.7937101555788	51.6023558909609	63.3688239818922	49.9364046365004	55.3736172358983	48.8136553080034	66.5684729271856	58.4999289324157	55.7068990398876	57.0743708228836	58.1847821634808	48.8764772242333	49.5980842188992	60.1210786922574	49.0759038591177	81.2228915934913	63.6253820636128	134.069160380618	48.4296239385337	60.4823172313012	57.8634370780001
"N1262_1_1"	18.4071400147356	47.7767568209521	0	21.0541301790437	503.940944516554	29.7050315076181	31.8234793673671	29.3114001957169	34.8461082805724	24.8328147410286	32.1504390687415	32.8438670411056	29.5860737797035	38.4843972555293	22.8845127525355	27.4099231238551	30.1136857191043	44.8817686011395	27.7001236737669	30.2563552449535	40.8294291862591	30.1605223268701	22.0879077021427	26.8792085075807	36.0155577076547	27.1321164822471	19.6980464221442	37.9921696405964	73.9320035918143	26.2327289684222	21.901462427673	23.1333831714874	23.8626967856205	19.2280922139784	28.868059207018	29.0175516840108	37.6904908588759	31.0474975331126	28.4722807547931	40.6287233041272	594.026455555327	821.210037175927	29.8241472101362	50.4575741623827	31.4878537490213	57.8341230962318	47.3944212803647	42.5878555732412	29.8184417363006	38.7780894686508	42.7424924026346	30.4048384828979	34.1076502742896	43.8797861776627	43.882469006648	35.9864573116832	40.8128695317838	44.8367663785087	31.9501899151707	22.3687627343752	38.0906826349163	31.259651848356	717.025747331426	37.7687011548184	30.2205381604285	40.5183886604305	35.5168298758105	51.6780367522004	47.8799176603167	36.6790561362104	37.7230527221506	37.6879959335031	45.8018890596627	35.3670829383224	48.0505434080893	30.760834694039	71.6924834924369	38.767273365409	100.384501263874	37.6906385934672	86.6405328490871	49.351293581695	36.4536740713501	50.473370344674	34.8644976358942	43.3074591088604	33.760869530946	56.3150708192402	46.8256450888639	32.3034561049886	44.430153567041	45.5435554880349	34.0482347565352	33.6170355141782	46.5249875684567	36.8090252959048	70.8655024413264	50.4557973677842	129.512860576211	31.4785334141175	48.6502762799422	47.0656885754753
"N1263_1_1"	17.6809425320655	48.4715977508168	21.0541301790437	0	499.396973711377	26.7704172186406	28.1208508827772	24.6045126723043	34.6045321644936	22.4028246200471	28.6051938613771	27.9760953011787	25.9274743892812	39.5475690973842	20.2327517308664	22.2709501000556	26.5588538361484	50.2607072759931	23.4531079607563	25.1495878499018	39.9672860190372	29.7484450310239	20.2969936060191	24.6524978878038	31.954483556091	24.8963243059613	23.7802288521267	37.3798688541692	73.5767091123967	24.1815893779046	18.5008642693014	25.8073281229006	23.8196458728598	19.218120230542	22.6232607948231	27.6449225352113	35.1243533441174	27.5808780107761	24.3139939335626	48.0595755450811	589.397145455023	816.646048521409	22.9355538931781	47.7990523186721	28.6221505910887	55.5022166758671	45.2726644717203	33.6413696450873	26.1074879414209	36.4466412722503	38.9601418780649	25.8614677626943	29.4647770394318	40.9432006077357	40.5102647738635	33.3969673959278	35.7442811576994	42.121944190293	33.6328657148932	19.1287161032624	35.2963991248109	25.8470145003898	712.451573069949	31.9448570798282	24.7343065723063	38.8183937195166	31.6582565699949	49.3266202657005	44.4134512824793	33.0137601357638	34.4929017533114	35.5572005736257	43.9051813353303	34.5026073967607	47.9334309864057	25.5818333400275	70.1042527603207	35.9756732600515	99.3594836619072	32.9743691238667	91.638384754392	47.220095831164	31.5263804454895	49.1028983596796	29.5666860077013	35.8518321473108	28.5985903387975	54.2636451082953	43.8589493530075	36.0068028041389	38.9492413870975	41.906271447038	29.2918503040131	27.038489806102	47.6297390236577	32.6736594983018	63.022238825422	49.4373368910079	128.755277537771	25.5588670856903	49.9698336563755	43.7109768075943
"N1264_1_1"	504.143634436261	506.244657956528	503.940944516554	499.396973711377	0	504.417630413398	504.818901027859	503.428031261138	505.142458158211	490.217579509853	503.742103891933	503.527639902387	503.601513898156	504.192527601474	502.644989324492	502.645833677663	504.621234503232	505.603840707833	503.550026828697	504.618408459137	503.54922241182	503.290472898606	499.627357526971	504.469539418017	504.057123994568	503.118706423068	503.100740515544	503.974555531648	507.98010013004	503.41474090349	504.330023799164	503.11112340433	504.293456588763	503.049502314566	504.530186853591	504.727070044753	505.023311221776	504.718124290287	504.505603955754	504.410189480838	94.0183748735721	318.634805259152	504.568136186437	506.260527326608	504.582891776635	507.055374062672	505.979901823219	504.753286198645	503.843173638487	504.212748911133	505.601771172739	503.999682753099	504.888258244716	504.456028621695	505.692166827425	505.072462712916	505.342983684556	505.747910192929	504.38563981541	504.268913243146	505.216162826417	504.416197658737	221.024401931596	505.038062437827	503.37389847517	505.475865759164	505.005064124949	506.304250470286	505.954288184178	504.853139655696	503.921854200625	504.643344925181	504.784688919724	504.491858848046	506.066811901393	504.230922060982	507.805168384288	504.594494483007	512.675149447453	504.41557355784	511.136404566434	505.206940109087	503.852992477228	505.306378870572	504.877489576195	504.514307229673	503.865255215481	505.597295412546	504.966087632727	503.837560186417	504.891802640199	504.953787325115	503.885140082917	504.116863331496	504.819679828751	503.761852799565	508.587070743685	505.116312763855	520.138485780281	503.88079412529	506.051600336627	500.881441935571
"N1265_1_1"	26.4650808939682	44.3306364843018	29.7050315076181	26.7704172186406	504.417630413398	0	26.9688001728781	23.2550386173104	40.9411742348237	32.525949185469	24.2099258430576	29.5527645612631	26.7539478585561	38.9542516295789	28.1256885719353	22.2476377135982	26.069320985075	51.3064622366813	22.7954831734365	21.7317367799684	35.7565756474558	28.2037402082929	30.3649096060498	19.1145413891767	31.1902928162776	20.6273528415343	30.6826210590961	36.2534949044155	71.3563499210492	24.8075426877364	29.7607541748327	28.6095031848102	31.5558291644189	26.4170684670478	23.1463599586142	25.7259542813356	30.4984657261939	25.1318453539874	21.5796436026104	50.6200925715978	594.084766743189	821.388173220862	24.5216409570608	47.8944294324524	27.6749218774465	59.6759464337093	44.1528724174716	38.2752325557669	34.4252161006054	36.1814495201171	39.5241556114931	27.2115963577946	29.9870516629808	40.3615724982056	41.2422979354657	32.6366051856072	37.1854026809535	41.9869436019357	36.7796563914108	30.3543408266496	34.5542995256504	26.5567683546554	717.18352354393	32.6383825442648	25.0467347377075	38.0513218405671	32.0171052662126	47.9039194680751	43.7052647843176	31.9445524812221	33.3968257485919	39.0700222120872	42.8534053712818	31.9360889077365	45.6164985250728	26.1726993758735	69.0494136369582	34.8741882526028	98.8008637161401	32.9721073488198	85.8095139163964	47.3350535351169	32.2341496603855	49.2309585553345	29.2964212042279	40.1969333402089	29.5078642350931	53.3782497344282	42.4535433696359	43.0055789861085	41.021713358575	41.822293987344	29.2421813377264	29.622617324348	45.253124792732	31.6948270665065	71.3546899503607	49.8010623701869	128.315938724851	28.0096350495929	45.5737868999647	43.6395634578026
"N1266_1_1"	29.6702676703106	49.0184155221098	31.8234793673671	28.1208508827772	504.818901027859	26.9688001728781	0	27.6131125125953	39.8286787089849	32.9567975301793	30.4150138549627	28.3606348965218	27.7355395105202	40.2054950797898	30.3574268627041	23.7596411693086	25.2715001334976	52.4185375647539	24.6776295994652	24.9325565374417	38.1195502090576	30.8770360778332	31.0702346222863	24.9828003656883	32.3972776004416	23.485280860347	31.1059885432415	37.6751720929536	72.3171087323514	25.9199695383549	28.2663876663022	28.3179921422157	32.4117269932084	28.2730092624824	23.6890010211899	26.8706638581343	31.2018655050861	26.761334777775	24.2240417804289	50.9201149301442	594.216581024382	821.517757437482	26.1342808999089	47.9150310258019	27.8849712780953	57.6087997353791	43.541650574594	38.8619640157544	33.8026526827575	34.4215835892816	37.6959520554854	25.8415678943965	28.6837090395758	40.5337264425972	40.1159950386075	31.8164330495599	33.5166748025993	41.3487095203426	35.6382322212429	28.6081482747247	33.438518207628	23.9744140665969	717.127838364561	32.5006566121331	22.9973761958752	31.0753492143122	31.0548389747487	48.2091369260809	40.5627995422954	30.077036355231	33.2226755675697	36.4199126480321	43.4479271527966	32.0914815685933	44.5185588911349	25.7559815603625	67.9641743940346	29.5513940823468	96.4861596126126	32.5359091515275	84.8570738120579	43.3961702912734	30.9422878703593	46.1243880759821	28.4558424889271	39.3694692127073	28.8974404984882	53.3798364478974	41.1316872297421	42.6914150988318	40.7528399381563	39.4199161373316	28.7138428196698	29.0474306309964	43.2719376021047	31.2152416989118	71.2387351782821	48.2945744193969	127.861237728996	26.761459799297	45.8345794553237	43.4859866198075
"N1267_1_1"	28.0033036687615	45.5932450313271	29.3114001957169	24.6045126723043	503.428031261138	23.2550386173104	27.6131125125953	0	35.174477648457	31.1811593872358	24.3828646612494	27.0360775232854	25.690020527281	36.7581775137278	27.2137175006474	19.336503990632	24.7936352130166	49.4327212380078	25.637924655315	24.2723060323192	35.2067438999812	26.5115635847246	30.2838120144121	20.0277150615372	31.4196738785444	24.7219931424158	29.9503073608232	34.4730210674217	74.3945890256514	24.4191456054655	27.8214810591487	31.6071170991163	32.9038903091603	27.1356500111932	22.3897478264748	24.6626855863272	31.2940505432986	27.9952212413137	24.3012869459493	51.2993445019392	593.063498791174	820.350358351453	24.7179019154975	48.7920981017392	28.5756899912224	58.5759444863035	46.0464668953268	40.585681944976	32.9674991067051	36.681390554654	40.5337597281807	28.6739713160628	31.5651571912488	42.5193902852677	42.2905879358093	34.5069522194399	37.5795151790582	42.9932413273888	38.3148173805121	31.6750788973267	36.7860272772113	29.0396270799304	716.110366881035	33.7293882079456	28.4097455440321	40.4645829623	32.3856298894408	48.8469693118587	45.5799099100554	32.9560170137218	35.7422348370734	39.5777435110402	44.6207582927931	35.2404722522959	47.0889850767267	28.7668796915384	70.5731730035169	36.9872743428749	99.7466871327319	34.2512288465968	86.6538434456115	48.1703225973877	34.3999018676448	50.1294770992934	32.1146704419763	40.5805647302005	30.6693056260272	54.8336573380128	43.9570514059401	41.8234653247731	39.9173466557518	43.4157277632663	31.6698387211354	30.2909642664025	43.2092669182701	34.7886352050664	71.8355638115444	49.6188016692396	128.500494536834	29.5612794054699	47.4118086066649	44.4810020844102
"N1268_1_1"	35.717457769066	56.6563247431488	34.8461082805724	34.6045321644936	505.142458158211	40.9411742348237	39.8286787089849	35.174477648457	0	38.1134456261176	43.4703027570341	40.0440035229715	32.1747568678437	46.4581975534697	35.508039976256	34.3081341726934	38.3281553907582	56.1775431771175	39.4553991916622	38.8746085203932	48.7768146289113	38.6235001371829	35.0452023411358	39.6817472500401	43.8951478665815	39.1653921982764	33.7375605953501	44.5526063399632	78.7462961831587	35.0933252893898	34.2701957031186	34.6701261180615	37.146191211991	34.5336820571517	33.9736266800753	39.8939126607321	43.6336941682333	40.6607629833194	38.1425236822171	53.7192231165713	595.032111032334	822.077582768054	38.1441522487163	56.8128838056368	41.2294567092711	63.2274813225405	54.3071909211725	49.4267114213982	40.1877774285437	47.9978457732311	50.0363089750203	39.3290372298384	42.6694363958748	52.0045587483359	50.9614587610021	44.5167265139473	47.5525385682747	51.8168415283057	40.3429313306303	35.9336660547247	45.8885052806749	39.962743746051	717.835523280524	44.5638600787043	39.8887579443919	49.083974867722	44.2245112030193	57.4015961659364	54.0516202270042	44.7553807698748	45.3349613117694	46.476110259006	52.5853041865066	42.4555288907054	55.1722472985876	39.7702046023031	76.1043453050514	46.7227082265167	103.830183246599	44.342287073034	90.1406018619286	55.9390452700084	44.806674283949	57.3415761269203	43.1632824123965	47.7731498936412	42.3531856343939	61.5759524524444	52.720283910655	43.3016319619971	50.2276638028018	52.0030707110726	42.041478218973	41.255358851136	50.7659217705051	45.2073311113629	75.1180470958106	57.3998713933154	132.332315515663	40.304009383251	55.0346483816997	53.0771180586313
"N1269_1_1"	23.2930110208259	52.0890933387172	24.8328147410286	22.4028246200471	490.217579509853	32.525949185469	32.9567975301793	31.1811593872358	38.1134456261176	0	35.1851507090651	30.856038413909	32.1076583180034	39.2482600364679	24.1902488901659	26.7920927300177	29.8504139057827	45.8104335451726	28.3597349147254	30.0672894894463	39.0172709160741	31.9123902509335	21.8094134527814	29.705283284233	36.4824860804607	29.0890927928528	22.8197096405031	39.1262608067762	74.7797730331675	28.4346435313301	24.7334389805083	26.9627921087474	25.4056706612344	23.7670981363476	27.7849499037486	31.1148646506392	37.8825128341899	31.9551528906536	28.8504464659922	49.062242676314	580.32240798752	807.529880175062	29.0799387392082	49.8662090481441	28.2029008175761	56.982169627525	47.0035545518336	40.2729632787543	28.3316634915629	37.0897977057878	41.9790746290329	29.3983244221458	32.3630060724322	43.3930541336265	43.3031845306141	34.9788182284852	38.6690485591719	43.9539212813245	35.006052808513	22.4062472602676	37.7478678354405	30.114749514099	703.295134500578	35.6566234483586	27.6528109655147	39.8582833641978	35.1426443304	50.2612617769157	46.5427053474261	33.6888820301286	35.8164288892131	36.355329656695	46.1143565075502	37.2470739730473	47.8016191844071	29.8067377063043	71.7146081341474	37.5739276607055	99.6116578263761	36.5054044423283	86.6485452947279	48.3505579165545	34.3658937015025	50.793547932462	32.414773228726	40.2893379731876	32.0512998305673	55.419114474032	44.1010468812788	35.1287905725544	42.7098010996108	42.692837998407	32.9920280298609	31.6678447577082	46.2649404655278	35.5969346101323	69.58889381064	51.4090720974725	129.468860781495	29.3159116797214	47.7177237227636	44.3706459783597
