"","p1","p2"
"QC1",-2.51760510660178,-0.126498556270533
"QC10",-2.54432877053432,-0.035126510003403
"QC11",-2.43590152070094,-0.122883180690154
"QC12",-2.53838850727094,-0.0817647211247668
"QC13",-2.54966588416049,-0.100086646398285
"QC14",-2.44842001057497,-0.249863005200146
"QC15",-2.30018819368851,0.0247538404595673
"QC16",-2.51144583125279,-0.093636896130683
"QC17",-2.58568915654845,-0.0570912845728821
"QC18",-2.52064478900219,-0.0540823670612938
"QC19",-2.52841416015086,-0.0610473211673757
"QC2",-2.5449683154975,-0.0982517600526006
"QC20",-2.58410645341459,-0.0393263233591484
"QC21",-2.45312932732661,-0.00755815849494206
"QC22_191115220540",-2.52298761398752,-0.114957863065265
"QC22_191115230944",-2.57469430688834,-0.141624743661437
"QC22",-2.52993460277425,0.04649355060194
"QC23",-2.56038642019176,-0.0718381900622844
"QC24",-2.50246519518873,-0.0740913494632845
"QC25",-2.35524694522007,0.0315647076809165
"QC26",-2.64690893894084,0.00308474838778418
"QC27",-1.40265598853193,0.220240248385365
"QC28",-2.17359087704302,-0.0692953788280416
"QC29",-2.3466389347471,0.00820639875659373
"QC3",-2.51101756970796,-0.097923761461816
"QC30",-2.51787810172488,-0.054639499780725
"QC31",-2.64490081241365,-0.401586218829327
"QC32",-2.62826697225895,0.0949098319534524
"QC33",-2.66861447662692,-0.14880976099875
"QC34",-2.54334959231592,-0.0490929022322496
"QC35",-2.46981376243126,-0.0490246071262323
"QC36",-2.43073977839742,-0.382867720732876
"QC37",-2.5446603166902,-0.0254884735660091
"QC38",-2.45060043238994,-0.113188360188482
"QC4",-2.52226874107161,0.026657756705021
"QC5",-2.53338443302764,-0.0440886629851872
"QC6",-2.4934991496939,-0.0669618629106583
"QC7",-2.54917599849367,-0.0172849592840468
"QC8",-2.5015859807245,-0.103299954126879
"QC9",-2.50418512052476,-0.0967602395506195
"C_07",-1.55746668744117,-3.34820907330377
"C_1",1.81400964061222,-2.22661236992274
