C05488	11-Deoxycortisol
C13712	Allopregnanolone
C19692	Polysulfide
C00192	Hydroxylamine
C00034	Manganese
C19607	trans-5,6-Dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene
C20447	2-Oxoglutaryl-CoA
C04145	all-trans-Nonaprenyl diphosphate
C21265	3''-Oxogentamicin A2
C05231	L-3-Aminobutyryl-CoA
C05441	Vitamin D2
C01748	Pyocyanine
C00162	Fatty acid
C01382	Iodine
C19569	3-Succinoylpyridine
C08062	2-Hydroxy-6-oxo-(2'-aminophenyl)-hexa-2,4-dienoate
C01103	Orotidine 5'-phosphate
C19577	1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol
C17950	N-Acetyldemethylphosphinothricin tripeptide
C00684	2-Dehydro-3-deoxy-L-arabinonate
C16566	Glutathionylaminopropylcadaverine
C06051	Isopyridoxal
C20572	alpha-1,5-L-Arabinotetraose
C16342	2(R)-HOT
C06611	trans-3-Chloro-2-propene-1-ol
C00814	Biochanin A
C00628	2,5-Dihydroxybenzoate
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C18075	11beta,17beta-Dihydroxy-4-androsten-3-one
C05945	L-Arginine phosphate
C02282	Glutaminyl-tRNA
C05963	Thromboxane B2
C03160	2-Succinylbenzoyl-CoA
C07732	Dibenzo-p-dioxin
C00638	Long-chain fatty acid
C16681	9-cis-Retinal
C02713	N-Acetylmuramate
C00712	(9Z)-Octadecenoic acid
C00618	3-Dehydro-L-gulonate
C02666	Coniferyl aldehyde
C12112	Validamycin A
C04390	N6-Acetyl-LL-2,6-diaminoheptanedioate
C07909	Sirolimus
C02730	2-Succinylbenzoate
C02670	D-Glucuronolactone
C00006	NADP+
C10641	Aurachin D
C05778	Sirohydrochlorin
C14813	11H-14,15-EETA
C04043	3,4-Dihydroxyphenylacetaldehyde
C00073	L-Methionine
C05279	trans,cis-Lauro-2,6-dienoyl-CoA
C03170	Trypanothione disulfide
C20502	5'-Oxoaverantin
C05844	5-L-Glutamyl-taurine
C14179	Sulfoacetate
C12832	3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene
C04226	6-Oxo-1,4,5,6-tetrahydronicotinate
C00855	D-Methionine
C21343	Orsellinate-[acp]
C17221	Trihomomethionine
C04844	3-Hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1(10),2-dien-4-oate
C16244	Cobalt-precorrin 7
C14820	11(R)-HPETE
C19582	1-(3-Pyridinyl)-1,4-butanediol
C12436	Dihydrokalafungin
C04185	5,6-Dihydroxyindole-2-carboxylate
C16598	(R)-(Homo)3-citrate
C11378	Ubiquinone-10
C01092	8-Amino-7-oxononanoate
C04348	L-Malyl-CoA
C00990	5-Aminopentanamide
C11245	Glucuronosyletoposide
C00672	2-Deoxy-D-ribose 1-phosphate
C19568	N-Nitrosomethanamine
C00084	Acetaldehyde
C00312	L-Xylulose
C07099	2,3,6-Trichlorohydroquinone
C17213	Homomethionine
C02354	2',3'-Cyclic CMP
C06566	Cephamycin C
C19759	7,9,9'-tricis-Neurosporene
C04579	Inositol 1,2,3,5,6-pentakisphosphate
C19255	MeIQx
C21141	4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide
C02985	L-Fucose 1-phosphate
C02557	Methylmalonyl-CoA
C00392	Mannitol
C21139	(S)-3-Acetyloctanal
C16323	3,6-Nonadienal
C00208	Maltose
C00424	(S)-Lactaldehyde
C00680	meso-2,6-Diaminoheptanedioate
C01114	L-Arabinono-1,4-lactone
C02949	4-Hydroxybenzoyl-CoA
C20231	(Z)-3-Ureidoacrylate peracid
C00857	Deamino-NAD+
C18328	7,9,12-Octaketide intermediate 2
C16673	Isoglutamine
C00479	Propanal
C00630	2-Methylpropanoyl-CoA
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol
C16754	Aflatoxin G2
C00688	dTDP-4-dehydro-beta-L-rhamnose
C04628	Coenzyme B
C05636	3-Hydroxykynurenamine
C15915	4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol
C21321	3,6,7,8-Tetrahydroxy-2-naphthoate
C06230	Fe-enterobactin
C05293	5beta-Dihydrotestosterone
