,barcode,n_genes,percent_mito,n_counts,desc_0.8,max.prob0.8
GSM1594219,GSM1594219,43799,0.0,201846.9,7,0.24130999
GSM1594220,GSM1594220,43799,0.0,200742.19,1,0.47156978
GSM1594221,GSM1594221,43799,0.0,200416.3,4,0.5072654
GSM1594222,GSM1594222,43799,0.0,201139.83,4,0.50501835
GSM1594223,GSM1594223,43799,0.0,204108.12,9,0.53492725
GSM1594224,GSM1594224,43799,0.0,203012.47,10,0.42991918
GSM1594225,GSM1594225,43799,0.0,201050.7,1,0.33569074
GSM1594226,GSM1594226,43799,0.0,200935.67,7,0.48800284
GSM1594227,GSM1594227,43799,0.0,202143.8,1,0.3959578
GSM1594228,GSM1594228,43799,0.0,199918.81,1,0.39820874
GSM1594229,GSM1594229,43799,0.0,203333.08,1,0.3822654
GSM1594230,GSM1594230,43799,0.0,200802.48,3,0.47544804
GSM1594231,GSM1594231,43799,0.0,202304.81,1,0.42617115
GSM1594232,GSM1594232,43799,0.0,201597.03,3,0.46203142
GSM1594233,GSM1594233,43799,0.0,198738.78,3,0.43727487
GSM1594234,GSM1594234,43799,0.0,201520.5,10,0.52335393
GSM1594235,GSM1594235,43799,0.0,201602.97,9,0.55229324
GSM1594236,GSM1594236,43799,0.0,201681.61,9,0.5539245
GSM1594237,GSM1594237,43799,0.0,202495.42,7,0.49673378
GSM1594238,GSM1594238,43799,0.0,202748.97,7,0.5073993
GSM1594239,GSM1594239,43799,0.0,201198.2,7,0.3948568
GSM1594240,GSM1594240,43799,0.0,202625.52,7,0.4966262
GSM1594241,GSM1594241,43799,0.0,201197.98,7,0.3330254
GSM1594244,GSM1594244,43799,0.0,201296.95,2,0.5350152
GSM1594247,GSM1594247,43799,0.0,201285.1,9,0.53951466
GSM1594250,GSM1594250,43799,0.0,201658.52,4,0.50889325
GSM1594253,GSM1594253,43799,0.0,200953.72,5,0.46052435
GSM1594254,GSM1594254,43799,0.0,204141.73,7,0.24383025
GSM1594255,GSM1594255,43799,0.0,201641.34,7,0.46842518
GSM1594256,GSM1594256,43799,0.0,202237.45,7,0.39502934
GSM1594257,GSM1594257,43799,0.0,202304.23,7,0.3131541
GSM1594258,GSM1594258,43799,0.0,199466.7,6,0.39465526
GSM1594259,GSM1594259,43799,0.0,200724.06,1,0.4702058
GSM1594260,GSM1594260,43799,0.0,203338.11,7,0.44916752
GSM1594261,GSM1594261,43799,0.0,202465.94,7,0.46267802
GSM1594262,GSM1594262,43799,0.0,202443.17,7,0.5027971
GSM1594263,GSM1594263,43799,0.0,202090.92,7,0.443415
GSM1594264,GSM1594264,43799,0.0,200770.88,9,0.5518041
GSM1594265,GSM1594265,43799,0.0,202800.33,9,0.555149
GSM1594266,GSM1594266,43799,0.0,201087.6,9,0.55483764
GSM1594267,GSM1594267,43799,0.0,202710.89,9,0.5534998
GSM1594268,GSM1594268,43799,0.0,202165.36,5,0.51647186
GSM1594269,GSM1594269,43799,0.0,201525.05,4,0.5089161
GSM1594270,GSM1594270,43799,0.0,202683.53,9,0.5532019
GSM1594271,GSM1594271,43799,0.0,202424.95,8,0.2188334
GSM1594272,GSM1594272,43799,0.0,201513.17,0,0.39775893
GSM1594273,GSM1594273,43799,0.0,202509.78,3,0.45358455
GSM1594274,GSM1594274,43799,0.0,199849.14,8,0.20129292
GSM1594275,GSM1594275,43799,0.0,200696.33,2,0.53516066
GSM1594276,GSM1594276,43799,0.0,199662.6,6,0.3822036
GSM1594277,GSM1594277,43799,0.0,201252.98,2,0.5283049
GSM1594278,GSM1594278,43799,0.0,201408.38,2,0.5261376
GSM1594279,GSM1594279,43799,0.0,202642.12,7,0.41365558
GSM1594280,GSM1594280,43799,0.0,200288.89,1,0.44657838
GSM1594281,GSM1594281,43799,0.0,199897.25,0,0.38809562
GSM1594282,GSM1594282,43799,0.0,200286.47,6,0.4412943
GSM1594283,GSM1594283,43799,0.0,202404.1,6,0.37758952
GSM1594284,GSM1594284,43799,0.0,202124.69,3,0.50552434
GSM1594285,GSM1594285,43799,0.0,199216.45,8,0.50763524
GSM1594286,GSM1594286,43799,0.0,200501.98,10,0.4784068
GSM1594287,GSM1594287,43799,0.0,203550.42,1,0.36660224
GSM1594288,GSM1594288,43799,0.0,201176.02,11,0.2724921
GSM1594289,GSM1594289,43799,0.0,201125.36,2,0.53493994
GSM1594290,GSM1594290,43799,0.0,201927.8,4,0.5097723
GSM1594291,GSM1594291,43799,0.0,200646.64,13,0.5240012
